date,TRADE_WAR,FED_POLICY,FEAR_CRISIS,EARNINGS,EUPHORIA_MOMENTUM,GEOPOLITICAL,SECTOR_TRIGGER,ENERGY_COMMODITY,LABOR_CONSUMER,TRUMP_POLICY,CRYPTO_FINTECH,AMPLIFIER_MOD,bert_sentiment,finbert_sentiment,sp500_close,sp500_return,direction,oil_close,vix_close,target
2018-01-03,1,12,2,9,11,9,11,7,3,9,8,12,-0.12281435508477061,-0.06520162903164563,2713.06005859375,0.006398818768781567,Up,61.630001068115234,9.149999618530273,1
2018-01-04,2,7,2,10,7,12,13,6,3,13,3,10,-0.09542834419774783,-0.0777011137627842,2723.989990234375,0.004028636080503967,Up,62.0099983215332,9.220000267028809,1
2018-01-05,0,11,2,5,2,5,6,5,15,6,2,7,-0.22841853406055865,-0.03821317490235151,2743.14990234375,0.007033767443369587,Up,61.439998626708984,9.220000267028809,1
2018-01-08,0,8,1,17,6,5,8,5,3,9,1,10,-0.1416635794459649,-0.027134661650601424,2747.7099609375,0.0016623439316436617,Up,61.72999954223633,9.520000457763672,1
2018-01-09,0,12,1,10,8,8,7,6,4,14,1,4,-0.0640722482560951,-0.05085499982010121,2751.2900390625,0.0013029315960912946,Up,62.959999084472656,10.079999923706055,1
2018-01-10,0,10,1,6,12,6,6,5,3,17,3,3,-0.18212178494479206,-0.06732263035971571,2748.22998046875,-0.0011122268282528491,Down,63.56999969482422,9.819999694824219,0
2018-01-11,1,15,2,8,14,7,13,6,2,21,6,7,-0.25543886676149546,-0.04731573894365146,2767.56005859375,0.007033646478779465,Up,63.79999923706055,9.880000114440918,1
2018-01-12,2,13,2,5,8,9,7,6,5,9,1,5,-0.20524436801505488,-0.053537558321971136,2786.239990234375,0.006749602987881076,Up,64.30000305175781,10.15999984741211,1
2018-01-16,0,8,5,8,11,3,3,5,2,12,4,5,-0.06541866379288527,-0.018397470497382946,2776.419921875,-0.003524487622672101,Down,63.72999954223633,11.65999984741211,0
2018-01-17,0,5,2,12,7,7,4,7,9,13,3,2,-0.12733794672544613,-0.016056248357216286,2802.56005859375,0.009415051560751175,Up,63.970001220703125,11.90999984741211,1
2018-01-18,0,9,2,16,8,3,14,7,4,13,5,5,-0.012966761422469626,0.018941998664761473,2798.030029296875,-0.0016163897301626484,Down,63.95000076293945,12.220000267028809,0
2018-01-19,2,2,8,4,7,6,8,6,5,7,11,5,-0.20048500024355376,-0.07523564043311545,2810.300048828125,0.004385235112838837,Up,63.369998931884766,11.270000457763672,1
2018-01-22,1,1,6,9,18,8,7,6,4,12,4,1,-0.11459805633661882,-0.058525819522504394,2832.969970703125,0.008066726499347698,Up,63.4900016784668,11.029999732971191,1
2018-01-23,2,12,5,14,12,12,4,6,6,13,12,2,-0.19426583372197062,-0.03745461903723343,2839.1298828125,0.0021743654797181655,Up,64.47000122070312,11.100000381469727,1
2018-01-24,3,10,2,9,6,8,9,10,0,15,1,3,-0.2831760225775035,-0.06689033230349897,2837.5400390625,-0.0005599757022828333,Down,65.61000061035156,11.470000267028809,0
2018-01-25,0,15,3,10,10,7,7,6,1,19,6,5,-0.14357499553347533,-0.023599048762336233,2839.25,0.0006026209018938911,Up,65.51000213623047,11.579999923706055,1
2018-01-26,1,4,1,6,13,4,6,7,4,8,4,3,-0.060521096345924195,-0.10171198426646047,2872.8701171875,0.011841196508761032,Up,66.13999938964844,11.079999923706055,1
2018-01-29,1,6,2,7,11,10,7,7,0,12,0,7,-0.24077438965611075,-0.07586609302142143,2853.530029296875,-0.006731974332887192,Down,65.55999755859375,13.84000015258789,0
2018-01-30,1,11,1,12,9,6,9,6,5,12,3,4,-0.22441098666543444,-0.050141432733169476,2822.429931640625,-0.010898815620283941,Down,64.5,14.789999961853027,0
2018-01-31,1,9,2,7,12,6,8,8,14,15,8,5,-0.1477912041757788,-0.1026381296251202,2823.81005859375,0.0004889853730833948,Up,64.7300033569336,13.539999961853027,1
2018-02-01,1,12,0,11,9,6,2,11,5,11,2,4,-0.08247409809467404,-0.0015392165414469187,2821.97998046875,-0.0006480882520516484,Down,65.80000305175781,13.470000267028809,0
2018-02-02,2,5,4,8,6,3,7,5,8,9,1,3,-0.1587549906768156,-0.11071178801305424,2762.1298828125,-0.02120854792396809,Down,65.44999694824219,17.309999465942383,0
2018-02-05,1,9,6,5,9,5,4,8,4,9,3,2,-0.15687767157088156,-0.08469121842695725,2648.93994140625,-0.04097922480422822,Down,64.1500015258789,37.31999969482422,0
2018-02-06,2,11,12,10,19,5,13,5,4,9,4,4,-0.202630873393575,-0.1019892209218046,2695.139892578125,0.017440920592313836,Up,63.38999938964844,29.979999542236328,1
2018-02-07,2,14,7,7,13,8,4,8,6,11,4,7,-0.10193028107081374,-0.029699057585147282,2681.659912109375,-0.005001588416939429,Down,61.790000915527344,27.729999542236328,0
2018-02-08,0,10,3,8,6,10,3,8,4,5,8,5,-0.22597849000067938,-0.029847744111681267,2581.0,-0.03753641975808808,Down,61.150001525878906,33.459999084472656,0
2018-02-09,1,2,4,6,17,4,4,10,12,7,1,9,-0.050836411708179007,-0.05342942845066362,2619.550048828125,0.014936090208494734,Up,59.20000076293945,29.059999465942383,1
2018-02-12,0,5,8,9,11,4,6,11,6,13,3,4,-0.1833812846077813,-0.0404544847086072,2656.0,0.013914584754042503,Up,59.290000915527344,25.610000610351562,1
2018-02-13,0,14,1,6,13,6,10,10,7,17,1,2,-0.1737810814922506,-0.07463539073624732,2662.93994140625,0.0026129297463290957,Up,59.189998626708984,24.969999313354492,1
2018-02-14,0,13,1,25,9,8,9,8,4,9,3,2,-0.14228287144242047,0.04581304328629277,2698.6298828125,0.013402458257245842,Up,60.599998474121094,19.260000228881836,1
2018-02-15,0,13,3,12,8,3,8,5,4,7,7,5,-0.17698896432123265,-0.03661201275814669,2731.199951171875,0.012069112762299383,Up,61.34000015258789,19.1299991607666,1
2018-02-16,1,7,1,2,5,4,10,4,2,6,5,5,0.020606682381846687,-0.056787683482980356,2732.219970703125,0.0003734693722488025,Up,61.68000030517578,19.459999084472656,1
2018-02-20,2,10,2,8,6,10,10,11,10,7,4,4,-0.1529190012778359,-0.04809767968053448,2716.260009765625,-0.005841389459353419,Down,61.900001525878906,20.600000381469727,0
2018-02-21,0,16,1,10,5,12,8,11,4,8,4,0,-0.2561536338380588,-0.11564586754207329,2701.330078125,-0.0054965031281792864,Down,61.68000030517578,20.020000457763672,0
2018-02-22,2,9,0,9,8,9,8,7,6,8,3,5,-0.05832335381553723,-0.04968827577137675,2703.9599609375,0.0009735510790762625,Up,62.77000045776367,18.719999313354492,1
2018-02-23,2,9,2,1,5,3,7,10,3,7,2,5,-0.0878419240967172,-0.10428819376619054,2747.300048828125,0.01602837635051313,Up,63.54999923706055,16.489999771118164,1
2018-02-26,0,14,2,2,9,2,8,6,3,9,4,4,-0.20730249160601769,-0.0759046491821883,2779.60009765625,0.011757015343810906,Up,63.90999984741211,15.800000190734863,1
2018-02-27,2,16,1,8,12,10,12,5,8,9,6,11,-0.15756516343071347,-0.04656134020271046,2744.280029296875,-0.012706888443829278,Down,63.0099983215332,18.59000015258789,0
2018-02-28,1,12,2,10,6,6,10,8,3,9,2,4,-0.29935429777417866,-0.0983537964611536,2713.830078125,-0.011095788639207016,Down,61.63999938964844,19.850000381469727,0
2018-03-01,5,12,4,14,12,9,15,7,5,7,5,4,-0.20219425351943,-0.06271805580097677,2677.669921875,-0.013324399541987275,Down,60.9900016784668,22.469999313354492,0
2018-03-02,8,5,6,1,9,7,8,5,6,12,0,6,-0.08549417868072604,-0.1707552816391129,2691.25,0.005071602744632031,Up,61.25,19.59000015258789,1
2018-03-05,2,11,1,5,7,7,9,8,5,14,3,6,-0.08547510491328293,0.01984823381088758,2720.93994140625,0.011032026532745043,Up,62.56999969482422,18.729999542236328,1
2018-03-06,8,15,4,8,6,11,10,8,4,10,3,7,-0.22560667123609376,-0.09309259688852409,2728.1201171875,0.002638858606169414,Up,62.599998474121094,18.360000610351562,1
2018-03-07,12,11,2,7,5,8,8,7,7,11,6,10,-0.17909611347245008,-0.052730836187739195,2726.800048828125,-0.00048387472056610203,Down,61.150001525878906,17.760000228881836,0
2018-03-08,5,22,2,7,7,5,9,7,9,18,8,3,-0.1393403673873228,-0.08834052966067604,2738.969970703125,0.004463078207817217,Up,60.119998931884766,16.540000915527344,1
2018-03-09,8,6,0,7,7,11,7,4,13,25,0,2,-0.10771632373332977,-0.022062615579925476,2786.570068359375,0.01737883151892694,Up,62.040000915527344,14.640000343322754,1
2018-03-12,4,7,5,1,4,5,8,7,5,7,2,1,-0.3332954557602015,-0.1049264524537165,2783.02001953125,-0.001273985129042532,Down,61.36000061035156,15.779999732971191,0
2018-03-13,2,12,2,7,8,10,9,8,3,15,3,4,-0.04307042021270192,-0.005980861685110615,2765.31005859375,-0.006363576551088879,Down,60.709999084472656,16.350000381469727,0
2018-03-14,0,6,7,7,8,3,7,8,3,11,6,6,-0.19796054670126131,-0.09291316620489158,2749.47998046875,-0.005724521948562322,Down,60.959999084472656,17.229999542236328,0
2018-03-15,4,9,1,5,6,12,12,7,2,12,4,4,-0.09247552217156799,-0.06897147650037098,2747.330078125,-0.000781930531963182,Down,61.189998626708984,16.59000015258789,0
2018-03-16,6,6,3,8,7,5,9,4,4,9,3,2,-0.061910801019865215,-0.11330362971507243,2752.010009765625,0.001703447167811456,Up,62.34000015258789,15.800000190734863,1
2018-03-19,0,0,7,7,7,11,14,5,2,7,4,6,-0.0362242061710922,-0.03173731712448086,2712.919921875,-0.014204195388793028,Down,62.060001373291016,19.020000457763672,0
2018-03-20,1,6,4,6,9,4,9,9,1,10,3,3,-0.2508319629622357,-0.037583392635237294,2716.93994140625,0.0014818054520648882,Up,63.400001525878906,18.200000762939453,1
2018-03-21,4,13,1,9,11,9,8,9,7,9,3,5,-0.17057160382131928,-0.04712193923577377,2711.929931640625,-0.0018439898833508828,Down,65.16999816894531,17.860000610351562,0
2018-03-22,3,14,4,8,8,11,11,5,6,8,3,9,-0.2633954890977556,-0.05976765562353708,2643.68994140625,-0.025162888405856454,Down,64.30000305175781,23.34000015258789,0
2018-03-23,5,8,6,4,8,19,10,4,6,9,2,3,-0.15260037480207977,-0.04401466069575498,2588.260009765625,-0.02096688071186603,Down,65.87999725341797,24.8700008392334,0
2018-03-26,3,7,1,1,6,7,3,9,2,5,0,3,-0.06988814062701014,-0.06771260183471851,2658.550048828125,0.02715725576151251,Up,65.55000305175781,21.030000686645508,1
2018-03-27,3,4,7,10,7,8,14,6,4,4,1,4,-0.19641670154694893,-0.07102630510277565,2612.6201171875,-0.017276308813847896,Down,65.25,22.5,0
2018-03-28,1,8,3,9,8,5,8,6,3,7,2,6,-0.22336732175763094,-0.03760063697911757,2605.0,-0.00291665716625622,Down,64.37999725341797,22.8700008392334,0
2018-03-29,1,12,4,9,11,5,5,10,5,7,1,3,-0.15643661839950487,-0.0324680097176185,2640.8701171875,0.013769718690019195,Up,64.94000244140625,19.969999313354492,1
2018-04-02,3,4,4,4,6,11,14,3,2,17,3,2,-0.24395924647649128,-0.13439718210448823,2581.8798828125,-0.022337423560165104,Down,63.0099983215332,23.6200008392334,0
2018-04-03,0,2,2,2,8,7,8,4,3,11,1,5,-0.09962435187520208,-0.027881855570484657,2614.449951171875,0.012614865848792123,Up,63.5099983215332,21.100000381469727,1
2018-04-04,5,6,5,10,13,7,9,4,1,9,1,7,-0.14956849026801017,-0.069686770448603,2644.68994140625,0.01156648273982852,Up,63.369998931884766,20.059999465942383,1
2018-04-05,4,7,2,7,6,5,4,2,3,14,2,8,-0.24200080413567393,-0.0954280731660363,2662.840087890625,0.0068628636575538415,Up,63.540000915527344,18.940000534057617,1
2018-04-06,6,8,3,2,6,8,7,4,8,8,6,7,-0.1240237553914388,-0.1184026526087629,2604.469970703125,-0.021920248779842444,Down,62.060001373291016,21.489999771118164,0
2018-04-09,5,5,3,4,8,13,11,1,5,13,4,5,-0.13568841737542447,-0.08819326091989202,2613.159912109375,0.0033365488963206236,Up,63.41999816894531,21.770000457763672,1
2018-04-10,4,5,5,3,8,9,8,5,4,17,4,3,-0.2333315342016842,-0.03260350207109814,2656.8701171875,0.0167269537832615,Up,65.51000213623047,20.469999313354492,1
2018-04-11,5,17,5,5,8,14,5,4,6,4,1,3,-0.23810079445441565,-0.050958943533866354,2642.18994140625,-0.005525364482924067,Down,66.81999969482422,20.239999771118164,0
2018-04-12,4,8,2,3,7,6,11,6,3,8,3,7,-0.0960159676830943,-0.06870314019346019,2663.989990234375,0.008250750063987677,Up,67.06999969482422,18.489999771118164,1
2018-04-13,3,6,2,1,8,7,8,4,6,15,5,6,-0.1439428339627656,-0.030881535277744246,2656.300048828125,-0.0028866254882486952,Down,67.38999938964844,17.40999984741211,0
2018-04-16,2,1,0,3,9,12,7,3,3,10,5,3,-0.12425187761719163,-0.07275259747497133,2677.840087890625,0.008109038386684864,Up,66.22000122070312,16.559999465942383,1
2018-04-17,4,2,1,11,7,6,8,5,4,8,3,6,-0.14896537282783998,-0.02775427382301741,2706.389892578125,0.010661504701720004,Up,66.5199966430664,15.25,1
2018-04-18,5,10,2,10,9,18,9,6,2,12,1,7,-0.16890731685519836,-0.05641853613199888,2708.639892578125,0.0008313658006817715,Up,68.47000122070312,15.600000381469727,1
2018-04-19,0,4,0,6,10,7,8,8,5,4,4,6,-0.07798619712064714,-0.034602263226140725,2693.1298828125,-0.005726124690152989,Down,68.29000091552734,15.960000038146973,0
2018-04-20,5,10,2,3,6,22,9,12,4,7,1,6,-0.25447381754497905,-0.08143526527539387,2670.139892578125,-0.00853653230061302,Down,68.37999725341797,16.8799991607666,0
2018-04-23,2,7,2,6,11,3,8,5,5,6,3,2,-0.1883616519498301,-0.07277076255151449,2670.2900390625,5.623169212687351e-05,Up,68.63999938964844,16.34000015258789,1
2018-04-24,2,7,3,5,10,9,8,3,3,8,1,3,-0.050708879645054154,-0.03597906439189011,2634.56005859375,-0.01338056164164636,Down,67.69999694824219,18.020000457763672,0
2018-04-25,3,5,4,9,13,12,8,8,4,11,3,6,-0.061759669401428914,-0.014275766987438229,2639.39990234375,0.001837059563023713,Up,68.05000305175781,17.84000015258789,1
2018-04-26,3,9,3,11,11,8,8,7,5,7,3,9,-0.1603014786712459,-0.06668736191550423,2666.93994140625,0.010434204774367295,Up,68.19000244140625,16.239999771118164,1
2018-04-27,0,4,0,3,8,9,7,5,6,7,1,8,-0.0625745421168448,-0.06756820500260968,2669.909912109375,0.0011136248915897262,Up,68.0999984741211,15.40999984741211,1
2018-04-30,2,6,3,4,13,19,7,7,5,8,1,3,-0.23340766404264718,-0.0856994221697972,2648.050048828125,-0.008187490964434607,Down,68.56999969482422,15.930000305175781,0
2018-05-01,4,3,1,4,9,4,17,4,5,9,1,6,-0.17259934787847558,-0.08083151818528696,2654.800048828125,0.0025490454770622506,Up,67.25,15.489999771118164,1
